Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
0.04699233337,-0.2360591125,0.1980381775,9.748627625
0.05699033337,-0.2281256104,0.1863624573,9.756411438
0.06698833336,-0.2154020691,0.1889071655,9.756261749
0.07698733336,-0.2297721863,0.2002835083,9.75386673
0.08698533336,-0.232616272,0.1898052979,9.757608948
0.09698333335,-0.2392025757,0.1856140137,9.751920776
0.1069813333,-0.2279759216,0.1954934692,9.759255524
0.1169793333,-0.2350112915,0.1944456482,9.758956146
0.1269773333,-0.2284249878,0.203127594,9.753118286
0.1369753333,-0.2300715637,0.2046244812,9.756561127
0.1469733333,-0.2487826538,0.1890568542,9.765093384
0.1569713333,-0.252973938,0.1920506287,9.75386673
0.1669693333,-0.2359094238,0.2038760376,9.752369843
0.1769673333,-0.2294728088,0.2032772827,9.761949921
0.1869663333,-0.2128573608,0.1919009399,9.750573578
0.1969643335,-0.2113604736,0.1963916016,9.753567352
0.2069623335,-0.2242337036,0.1890568542,9.746382294
0.2169603335,-0.2405497742,0.1835183716,9.754764862
0.2269583335,-0.2448907471,0.1926493835,9.757159882
0.2369563335,-0.2429447937,0.1938468933,9.760602722
0.2469543335,-0.228874054,0.2038760376,9.747280426
0.2569523335,-0.2177970886,0.1983375549,9.752968597
0.2669503335,-0.2163002014,0.1935475159,9.75970459
0.2769483335,-0.2249821472,0.1941462708,9.758207703
0.2869463335,-0.2339634705,0.1857637024,9.762099609
0.2969453335,-0.2347119141,0.1981878662,9.765392761
0.3069433335,-0.2339634705,0.2005828857,9.752220154
0.3169375001,-0.2252815247,0.193996582,9.751022644
0.3269355001,-0.2281256104,0.1878593445,9.758806458
0.3369335001,-0.2305206299,0.1895059204,9.75506424
0.3469315001,-0.2377056885,0.1905537415,9.749226379
0.3569295001,-0.2450404358,0.1848655701,9.755213928
0.3669275001,-0.2439926147,0.1817221069,9.763596497
0.3769255001,-0.2333647156,0.1886077881,9.755962372
0.3869235001,-0.2347119141,0.1974394226,9.758357391
0.3969215001,-0.2231858826,0.2028282166,9.748178558
0.4069195001,-0.2323168945,0.1959425354,9.752968597
0.4169185001,-0.2329156494,0.1841171265,9.757758636
0.4269165001,-0.2296224976,0.1842668152,9.765243073
0.4369145001,-0.230969696,0.1917512512,9.754914551
0.4469125001,-0.240100708,0.1932481384,9.749226379
0.4569105001,-0.2246827698,0.2079176331,9.746232605
0.4669085001,-0.2176473999,0.217048645,9.766141205
0.4769065001,-0.2258802795,0.2013313293,9.752220154
0.4869045001,-0.2327659607,0.1809736633,9.756411438
0.4969025,-0.2393522644,0.1695973206,9.751621399
0.5069005,-0.2384541321,0.1643582153,9.759854279
0.5168985,-0.229921875,0.1933978271,9.757459259
0.5268975,-0.2273771667,0.1975891113,9.751022644
0.5368955,-0.2228865051,0.2005828857,9.75266922
0.5468935,-0.2260299683,0.2127076721,9.745933228
0.5568915,-0.2405497742,0.2128573608,9.747879181
0.5668895,-0.2481838989,0.1764830017,9.748477936
0.5768875,-0.2384541321,0.1713935852,9.759105835
0.5868855,-0.2145039368,0.1770817566,9.765841827
0.5968835,-0.2119592285,0.1784289551,9.752369843
0.6068815,-0.2195933533,0.187559967,9.759255524
0.6168795,-0.2372566223,0.1998344421,9.750124512
0.6268775,-0.2354603577,0.1971400452,9.74802887
0.6368765,-0.2344125366,0.1905537415,9.759105835
0.6468745,-0.2270777893,0.1920506287,9.756411438
0.6568725002,-0.2194436646,0.1977388,9.756112061
0.6668705002,-0.2091151428,0.2157014465,9.745035095
0.6768685002,-0.2139051819,0.2134561157,9.748927002
0.6868665002,-0.2255809021,0.2008822632,9.75266922
0.6968645002,-0.2405497742,0.2115101624,9.751920776
0.7068625002,-0.2462379456,0.1998344421,9.741292877
0.7168605002,-0.243842926,0.2028282166,9.732161865
0.7268585002,-0.2339634705,0.2062710571,9.749974823
0.7368565002,-0.2257305908,0.1901046753,9.754315796
0.7468555002,-0.226179657,0.190254364,9.754615173
0.7568535001,-0.2254312134,0.1904040527,9.755213928
0.7668515001,-0.226179657,0.1945953369,9.750423889
0.7768495001,-0.2320175171,0.1886077881,9.754465485
0.7868475001,-0.2426454163,0.1951940918,9.738897858
0.7968455001,-0.2384541321,0.1818717957,9.738149414
0.8068435001,-0.2296224976,0.1842668152,9.753267975
0.8168415001,-0.2296224976,0.1907034302,9.750423889
0.8268395001,-0.2487826538,0.1869612122,9.75506424
0.8368375001,-0.240100708,0.1824705505,9.747130737
0.8468355001,-0.2348616028,0.1905537415,9.74683136
0.8568345001,-0.2282752991,0.1826202393,9.767638092
0.8668325001,-0.2246827698,0.187559967,9.760453033
0.8768305001,-0.2201921082,0.1880090332,9.744586029
0.8868285001,-0.2174977112,0.1881587219,9.751322021
0.8968265001,-0.2357597351,0.1980381775,9.755363617
0.9068245001,-0.2448907471,0.1938468933,9.752369843
0.9168225001,-0.2501298523,0.1898052979,9.746232605
0.9268205001,-0.243842926,0.189206543,9.762698364
0.9368185,-0.2366578674,0.195643158,9.756261749
0.9468165,-0.2189945984,0.1932481384,9.744136963
0.9568145,-0.2240840149,0.1984872437,9.750573578
0.9668135,-0.228874054,0.2002835083,9.749376068
0.9768115,-0.2335144043,0.1764830017,9.754465485
0.9868095,-0.2332150269,0.1866618347,9.762698364
0.9968075,-0.2284249878,0.1889071655,9.743837585
1.0068055,-0.222437439,0.1942959595,9.748927002
1.0168035,-0.2192939758,0.1919009399,9.748328247
1.0268015,-0.2246827698,0.196690979,9.754914551
1.0367995,-0.2348616028,0.185464325,9.757908325
1.0467975,-0.2311193848,0.1811233521,9.748477936
1.0567955,-0.2330653381,0.1930984497,9.755812683
1.0667935,-0.2266287231,0.1953437805,9.752519531
1.0767915,-0.2252815247,0.1932481384,9.750124512
1.0867905,-0.2360591125,0.2059716797,9.743238831
1.0967885,-0.2338137817,0.1922003174,9.750423889
1.1067865,-0.2386038208,0.1833686829,9.753567352
1.1167845,-0.2392025757,0.1853146362,9.759854279
1.1267825,-0.2267784119,0.193996582,9.753417664
1.1367805,-0.2266287231,0.204175415,9.751322021
1.1467785,-0.2255809021,0.1980381775,9.744885406
1.1567765,-0.2270777893,0.2082170105,9.747579803
1.1667745,-0.2378553772,0.1954934692,9.757159882
1.1767725,-0.2421963501,0.1826202393,9.75506424
1.1867705,-0.2327659607,0.1889071655,9.761500854
1.1967685,-0.2341131592,0.1814227295,9.760602722
1.2067675,-0.2191442871,0.1871109009,9.761500854
