Time (s),X (µT),Y (µT),Z (µT)
0.08948333352,-1.12689209,-23.02480698,-17.23324776
0.09948133351,-1.042373657,-23.12869644,-17.38640022
0.1094793335,-0.986328125,-23.18172836,-17.41782951
0.1194773335,-0.9110622406,-23.29408646,-17.43850708
0.1294753335,-0.9097371101,-23.27579689,-17.38177872
0.1394733335,-0.8751387596,-23.29847145,-17.28458214
0.1494713335,-0.8464612961,-23.34527969,-17.2181015
0.1594693335,-0.7900290489,-23.45650864,-16.94935608
0.1694673335,-0.7734222412,-23.46831894,-16.6680851
0.1794653335,-0.7397899628,-23.52751541,-16.39125061
0.1894643335,-0.7076544762,-23.63488007,-16.36532593
0.1994623335,-0.6599750519,-23.66160583,-16.53580284
0.2094603335,-0.6749286652,-23.63796997,-16.47581673
0.2194583334,-0.6137647629,-23.70789528,-16.30088806
0.2294563334,-0.5847425461,-23.75927734,-16.16243172
0.2394543334,-0.5098075867,-23.74418831,-16.30422974
0.2494523334,-0.4494228363,-23.7448616,-16.23373604
0.2594503334,-0.4185700417,-23.8311367,-15.84263802
0.2694483334,-0.3387804031,-23.95132637,-15.43146515
0.2794463334,-0.3393883705,-23.88160133,-15.543787
0.2894443334,-0.4298038483,-23.69787598,-15.98654556
0.2994433334,-0.4874773026,-23.55282211,-16.40313148
0.3094413334,-0.5401434898,-23.53702736,-16.52516747
0.3194355001,-0.507724762,-23.62588501,-16.27379036
0.3294335001,-0.5741786957,-23.60713959,-16.4118557
0.3394315001,-0.6262550354,-23.56188393,-16.60288239
0.3494295001,-0.6407051086,-23.55489922,-16.64850807
0.3594275001,-0.6345787048,-23.62827492,-16.65456009
0.3694255,-0.6792497635,-23.7008667,-16.5449295
0.3794235,-0.7189912796,-23.75404739,-16.62814903
0.3894215,-0.7292871475,-23.77217293,-16.68685341
0.3994195,-0.7317481041,-23.71377945,-16.67339897
0.4094175,-0.7362799644,-23.69659233,-16.7639389
0.4194165,-0.7122883797,-23.62910843,-16.78924942
0.4294145,-0.7710323334,-23.57263374,-16.78201103
0.4394125,-0.8174319267,-23.49596596,-16.7845459
0.4494105,-0.7724556923,-23.48558617,-16.72017479
0.4594085,-0.7697739601,-23.50367737,-16.5653286
0.4694065,-0.7661619186,-23.48110008,-16.4823761
0.4794045,-0.7073335648,-23.48431396,-16.49476624
0.4894025,-0.6868243217,-23.54104233,-16.57029533
0.4994005,-0.7192258835,-23.52099991,-16.70088577
0.5093985,-0.7346482277,-23.48821449,-16.73949432
0.5193965002,-0.7477703094,-23.51479721,-16.74910736
0.5293955002,-0.7485466003,-23.45334053,-16.83400726
0.5393935002,-0.7344784737,-23.41146278,-16.83676529
0.5493915002,-0.7246456146,-23.38438225,-16.85429573
0.5593895002,-0.7332215309,-23.44561958,-16.77625656
0.5693875002,-0.6901097298,-23.41658974,-16.6947937
0.5793855002,-0.6721305847,-23.48145485,-16.79797363
0.5893835002,-0.6870007515,-23.49513435,-16.89961433
0.5993815002,-0.7010030746,-23.50761795,-16.91916466
0.6093795002,-0.692882061,-23.45196342,-16.92672729
0.6193775001,-0.6904401779,-23.49563789,-16.86466026
0.6293755001,-0.6976370811,-23.5734539,-16.86339188
0.6393745001,-0.7256436348,-23.60088348,-16.87443733
0.6493725001,-0.7126998901,-23.70230675,-16.94575119
0.6593705001,-0.7275075912,-23.70566177,-17.00466919
0.6693685001,-0.7417426109,-23.64958,-16.87349319
0.6793665001,-0.7045755386,-23.56407356,-16.88002014
0.6893645001,-0.738796711,-23.56131935,-16.94415283
0.6993625001,-0.7335267067,-23.64195633,-17.00576401
0.7093605001,-0.7002720833,-23.63260651,-17.01843071
0.7193585001,-0.6857099533,-23.70310402,-16.93473053
0.7293565001,-0.7251529694,-23.64064407,-16.94448471
0.7393545001,-0.7263798714,-23.56295967,-16.91967583
0.7493535001,-0.7965254784,-23.55936432,-17.03883743
0.7593515001,-0.8201465607,-23.56755447,-17.07818794
0.7693495001,-0.7972979546,-23.53992081,-17.15945816
0.7793475001,-0.7488994598,-23.47570801,-17.20189857
0.7893455001,-0.7154321671,-23.5394001,-17.2035408
0.7993435001,-0.7155461311,-23.49066734,-17.10799217
0.8093415,-0.7583475113,-23.5008564,-17.10778236
0.8193395,-0.7223348618,-23.46736145,-17.16688728
0.8293375,-0.7576160431,-23.48975754,-17.1103096
0.8393355,-0.767821312,-23.49987602,-17.10042953
0.8493335,-0.8197712898,-23.45054436,-17.12535477
0.8593325,-0.7994837761,-23.39400864,-16.98658943
0.8693305,-0.7542481422,-23.40778542,-16.93367958
0.8793285,-0.7680635452,-23.39883614,-16.99689865
0.8893265,-0.8006715775,-23.42178917,-17.09219933
0.8993245,-0.8764853477,-23.37426567,-17.06182861
0.9093225,-0.8250455856,-23.40323448,-17.04768372
0.9193205,-0.8262877464,-23.48173523,-17.00168419
0.9293185,-0.8429064751,-23.54847336,-17.05673027
0.9393165,-0.846075058,-23.54389954,-17.09633636
0.9493145,-0.8779349327,-23.51987076,-17.11276054
0.9593125002,-0.8726696968,-23.48955154,-17.03155899
0.9693115002,-0.8996510506,-23.40812302,-17.26861954
0.9793095002,-0.8884673119,-23.4679966,-17.3189621
0.9893075002,-0.8332257271,-23.43566513,-17.25436783
0.9993055002,-0.822350502,-23.40675926,-17.3182354
1.0093035,-0.8694248199,-23.33369255,-17.36977196
1.0193015,-0.8393554688,-23.31679344,-17.46552467
1.0292995,-0.8684463501,-23.25154114,-17.50893211
1.0392975,-0.8712353706,-23.20384598,-17.48304749
1.0492955,-0.8954329491,-23.19207382,-17.42635155
1.0592935,-0.885269165,-23.20234489,-17.43920708
1.0692915,-0.8627495766,-23.22200394,-17.42344666
1.0792895,-0.8624315262,-23.22184563,-17.425457
1.0892885,-0.8745450974,-23.24344635,-17.4323597
1.0992865,-0.8948359489,-23.21673775,-17.43756676
1.1092845,-0.8529295921,-23.23376274,-17.21687508
1.1192825,-0.8783245087,-23.29223824,-17.14466667
1.1292805,-0.9206910133,-23.30817223,-17.25370979
1.1392785,-0.8934073448,-23.3520813,-17.32553673
1.1492765,-0.8980755806,-23.36921692,-17.32131958
1.1592745,-0.8847770691,-23.3855114,-17.14284515
1.1692725,-0.8340530396,-23.41562653,-17.04400826
1.1792705,-0.8615450859,-23.33838844,-17.2496109
1.1892685,-0.7903375626,-23.38709641,-17.44319153
1.1992665,-0.8013458252,-23.39180183,-17.50556755
1.2092655,-0.8056902885,-23.38115501,-17.50100708
1.2192635,-0.7695069313,-23.4137764,-17.48327065
1.2292615,-0.8258070946,-23.33896446,-17.51458359
1.2392595,-0.8483366966,-23.24406433,-17.42329788
1.2492575,-0.8853464127,-23.26377678,-17.41395187
1.2592555,-0.8654894829,-23.22984886,-17.43268776
1.2692535,-0.8622612953,-23.22488594,-17.39726067
1.2792515,-0.845416069,-23.22287369,-17.45709419
1.2892495,-0.8287563324,-23.31458473,-17.4442997
1.2992475,-0.7883520126,-23.43768501,-17.28269386
1.3092455,-0.8389754295,-23.4342308,-17.26225281
1.319248208,-0.8424782753,-23.3756237,-17.29311371
1.329246208,-0.8259553909,-23.39247704,-17.21296501
1.339244209,-0.7892360687,-23.43889618,-17.20353699
1.349242209,-0.7679567337,-23.45127678,-17.22415924
1.359240209,-0.7849330902,-23.46536827,-17.28112602
1.369238209,-0.7694935799,-23.46888733,-17.2898941
1.379236209,-0.758746624,-23.3662529,-17.3940506
1.389234209,-0.8060321808,-23.28004837,-17.44633484
1.399232208,-0.8429379463,-23.38582993,-17.44569206
1.409230208,-0.8501996994,-23.37860298,-17.46859741
1.419228208,-0.8477034569,-23.46434402,-17.45000839
1.429226208,-0.903526783,-23.48614883,-17.45974922
1.439225208,-0.8792982101,-23.48467064,-17.47480202
1.449223208,-0.8635282516,-23.48407364,-17.43395996
1.459221208,-0.8142843246,-23.48884964,-17.3944664
1.469219208,-0.771548748,-23.45660973,-17.40262413
1.479217208,-0.771548748,-23.45660973,-17.40262413
1.489215208,-0.8295431137,-23.41683578,-17.48605156
1.499213208,-0.8952255249,-23.39040756,-17.51882362
1.509211208,-0.9106006622,-23.43517494,-17.46596336
1.519209208,-0.8984389305,-23.44080925,-17.44393158
1.529207208,-0.8790836334,-23.46925545,-17.43374252
1.539205208,-0.9132876396,-23.44848824,-17.43114853
1.549204208,-0.9077181816,-23.45583153,-17.41086006
1.559202208,-0.8910360336,-23.49091911,-17.32130432
1.569200208,-0.850549221,-23.54726601,-17.20773506
1.579198208,-0.8013882637,-23.51727104,-17.17914581
1.589196208,-0.8449783325,-23.433424,-17.38144875
1.599194208,-0.8785614967,-23.4747715,-17.41788101
1.609192208,-0.8727931976,-23.47405243,-17.3415432
1.619190208,-0.8162331581,-23.45741844,-17.35112381
1.629188208,-0.8103423119,-23.49093437,-17.31529617
1.639186208,-0.7854909897,-23.44276047,-17.3407402
1.649184208,-0.8276381493,-23.491642,-17.4114151
1.659182208,-0.8331279755,-23.50658035,-17.53196716
1.669181208,-0.7550907135,-23.57509422,-17.50437355
1.679179208,-0.812207222,-23.64274406,-17.50854874
1.689177208,-0.8292818069,-23.61048508,-17.52708244
1.699175208,-0.8336501122,-23.55875397,-17.42920113
1.709173208,-0.7627387047,-23.60961342,-17.35913086
1.719171208,-0.7760252953,-23.60175514,-17.40439034
1.729169208,-0.8269529343,-23.61309814,-17.33461571
1.739167208,-0.8791947365,-23.63750267,-17.23407745
1.749165208,-0.845574379,-23.62140656,-17.18805122
1.759163208,-0.8516483307,-23.67203712,-17.23722839
1.769161209,-0.847427845,-23.6116848,-17.34948921
1.779160209,-0.8967132568,-23.54253578,-17.40749741
1.789158209,-0.8796405792,-23.47650719,-17.42646217
1.799156209,-0.8753929138,-23.54945183,-17.50426674
1.809154209,-0.7834391594,-23.64271736,-17.4216156
1.819152209,-0.7377505302,-23.57139969,-17.49884796
1.829150209,-0.735019207,-23.5518322,-17.52217102
1.839148208,-0.7674045563,-23.48628044,-17.47773361
1.849146208,-0.7444958687,-23.5030899,-17.44986916
1.859144208,-0.812412262,-23.48204613,-17.38610268
1.869142208,-0.8687906265,-23.48064232,-17.26465607
1.879140208,-0.8465867043,-23.58423996,-17.25354958
1.889138208,-0.8341326714,-23.62536049,-17.20870209
1.899137208,-0.8971099854,-23.49683762,-17.19347
1.909135208,-0.9096417427,-23.46825981,-17.18608856
1.919133208,-0.8877520561,-23.46717834,-17.31118202
1.929131208,-0.9155473709,-23.48945427,-17.26357269
1.939129208,-0.8962554932,-23.45527458,-17.16977882
1.949127208,-0.8545780182,-23.48417854,-17.09350395
1.959125208,-0.8205895424,-23.48408699,-17.18784332
1.969123208,-0.8960175514,-23.39900398,-17.32484627
1.979121208,-0.8973665237,-23.37345695,-17.47984314
1.989119208,-0.8418169022,-23.38728523,-17.40499306
