Time (s),X (µT),Y (µT),Z (µT)
0.04450987489,-28.37964249,20.96289825,-33.11169434
0.05450487486,-28.43520737,21.00052643,-33.27110291
0.06450087484,-28.43185425,20.99725723,-33.26464081
0.07449687482,-28.46735573,20.98509979,-33.20431519
0.08449187502,-28.44805145,20.9718914,-33.03521729
0.094487875,-28.37729073,20.99870872,-32.78224945
0.104483875,-28.37004471,20.9804039,-32.68416214
0.114479875,-28.42088127,21.05182457,-32.78983688
0.1244748749,-28.37075996,20.97039223,-32.6537056
0.1344708749,-28.41599655,21.00121689,-32.56855774
0.1444668749,-28.48121452,21.10428238,-32.85834503
0.1544628749,-28.51887894,21.15300369,-33.13749313
0.1644578748,-28.53194618,21.19283867,-33.30234909
0.1744538748,-28.50563431,21.21561623,-33.39137268
0.184449875,-28.48379135,21.19471169,-33.49018478
0.194445875,-28.46787071,21.21244812,-33.58385849
0.204440875,-28.503685,21.21295547,-33.43421555
0.214436875,-28.47190666,21.21330833,-33.39455032
0.2244328749,-28.55859375,21.24571991,-33.45673752
0.2344288749,-28.58139992,21.24171448,-33.49438858
0.2444238749,-28.52770042,21.16378021,-33.48894882
0.2544198749,-28.50749397,21.08523941,-33.43569183
0.2644158748,-28.40503693,21.04716682,-33.45698166
0.2744118748,-28.44374275,21.09102058,-33.59905624
0.284406875,-28.45573044,21.03765678,-33.69076538
0.294402875,-28.47927094,21.0101223,-33.67809296
0.304398875,-28.45882225,21.01101875,-33.6624794
0.314393875,-28.46559906,20.9959259,-33.62805939
0.3243898749,-28.45809746,20.97178459,-33.71063232
0.3343858749,-28.46731377,20.96619225,-33.70147324
0.3443809999,-28.47264481,21.00411606,-33.69678116
0.3543759999,-28.46998215,21.02168846,-33.68325424
0.3643719999,-28.51200294,20.98995781,-33.68165207
0.3743679998,-28.53300095,21.01521301,-33.66866302
0.3843639998,-28.46233559,20.92499733,-33.70106888
0.394359,-28.4605732,20.90829468,-33.70969009
0.404355,-28.46594429,20.90288544,-33.70483017
0.414351,-28.4559803,20.8587513,-33.74227524
0.424347,-28.41418457,20.85139847,-33.68735886
0.4343419999,-28.37986755,20.9234581,-33.72958374
0.4443379999,-28.40335083,20.93989563,-33.66668701
0.4543339999,-28.37610817,20.94419098,-33.55176163
0.4643299999,-28.35886765,20.94397354,-33.50201416
0.4743249998,-28.40206718,21.06010056,-33.62245178
0.4843209998,-28.40450478,21.14442444,-33.66145325
0.494317,-28.41617012,21.12852478,-33.66233826
0.504312,-28.42803764,21.11269188,-33.6729393
0.514308,-28.43279076,21.20277214,-33.62263107
0.524304,-28.40529251,21.20971107,-33.62606049
0.5342999999,-28.44037628,21.23730469,-33.62316132
0.5442949999,-28.43109512,21.1485405,-33.5316925
0.5542909999,-28.40094566,21.08987617,-33.46907806
0.5642869999,-28.39038849,21.07164001,-33.57194519
0.5742829998,-28.39096451,21.03982544,-33.62786865
0.5842779998,-28.35446167,21.09717178,-33.61244583
0.594274,-28.42396736,21.1910305,-33.64832306
0.60427,-28.42396736,21.1910305,-33.64832306
0.614266,-28.3934803,21.14558792,-33.65592575
0.624261,-28.39515114,21.07150459,-33.64793777
0.6342569999,-28.41107368,21.10701752,-33.65428925
0.6442529999,-28.42539597,21.04991531,-33.65407562
0.6542489999,-28.40608025,21.07748032,-33.65066528
0.6642439999,-28.44830704,21.07584,-33.57423019
0.6742399998,-28.48329353,21.09817696,-33.62092972
0.6842359998,-28.48828316,21.14048004,-33.70357132
0.694232,-28.46080971,21.13397408,-33.7083931
0.704227,-28.4925499,21.12373924,-33.65296936
0.714223,-28.48258972,21.22334862,-33.64634323
0.724219,-28.43392944,21.2626152,-33.62306213
0.7342139999,-28.40958977,21.26241684,-33.63367081
0.7442099999,-28.38711739,21.22140312,-33.61302567
0.7542059999,-28.41876411,21.23648453,-33.6754303
0.7642019999,-28.49057007,21.2087822,-33.68455505
0.7741969998,-28.48098946,21.22726059,-33.71366882
0.7841929998,-28.49809647,21.21583939,-33.76117706
