Time (s),X (µT),Y (µT),Z (µT)
0.04502479173,8.56801033,16.28488541,-28.4941864
0.05502079171,8.625864029,16.2977562,-28.60857391
0.06501679169,8.651486397,16.26113892,-28.62865448
0.07501279167,8.675504684,16.1620903,-28.53514099
0.08500979166,8.671020508,16.15637589,-28.31923294
0.09500579163,8.747182846,16.13620377,-28.15325165
0.1050017916,8.759897232,16.10090065,-28.11072922
0.1149977916,8.755339622,16.07691383,-28.25095749
0.1249937918,8.726697922,16.12292099,-28.3740921
0.1349907918,8.66385746,16.2293129,-28.52776337
0.1449867918,8.672301292,16.24277306,-28.62149429
0.1549827917,8.697268486,16.15431976,-28.60824966
0.1649787917,8.706906319,16.12807465,-28.5579567
0.1749747917,8.689236641,16.12877083,-28.4329567
0.1849717917,8.626614571,16.24507141,-28.61279678
0.1949677917,8.582517624,16.27769089,-28.58639908
0.2049637916,8.647099495,16.24804878,-28.48841476
0.2149597916,8.659323692,16.29638672,-28.56127167
0.2249557916,8.668435097,16.36616516,-28.66612625
0.2349527916,8.598011017,16.35301399,-28.66080856
0.2449487916,8.636401176,16.32472038,-28.51543045
0.2549447918,8.666005135,16.25197983,-28.44661331
0.2649407918,8.732088089,16.20927048,-28.46582413
0.2749367917,8.716095924,16.26787376,-28.51169968
0.2849337917,8.710136414,16.28763008,-28.63323975
0.2949297917,8.658946991,16.29973793,-28.66187286
0.3049257917,8.642129898,16.36105919,-28.62833405
0.3149217917,8.648389816,16.34979248,-28.444767
0.3249177916,8.709576607,16.26700783,-28.3407135
0.3349147916,8.713007927,16.27861786,-28.4846077
0.3449107916,8.705764771,16.27554703,-28.53422928
0.3549067916,8.644068718,16.32791138,-28.45154953
0.3649027918,8.67333889,16.33624268,-28.37614441
0.3748987918,8.625310898,16.43923759,-28.43235016
0.3848957918,8.614163399,16.41254044,-28.57374954
0.3948917917,8.619013786,16.37492371,-28.62856674
0.4048877917,8.594130516,16.40898514,-28.64543533
0.4148837917,8.581350327,16.5080471,-28.60734558
0.4248797917,8.598922729,16.38627815,-28.52021408
0.4348767917,8.573097229,16.31710434,-28.55176544
0.4448727916,8.615873337,16.28460121,-28.50311661
0.4548687916,8.670947075,16.22209167,-28.34695053
0.4648647916,8.663349152,16.21140671,-28.36339188
0.4748607916,8.71373558,16.23949814,-28.36388016
0.4848577918,8.726886749,16.26210022,-28.38395309
0.4948537918,8.741534233,16.19244766,-28.34906769
0.5048497918,8.680764198,16.21120071,-28.4413681
0.5148457917,8.660739899,16.21068764,-28.49784088
0.5248417917,8.610481262,16.15126801,-28.53218842
0.5348387917,8.643192291,16.13729286,-28.57103348
0.5448347917,8.722626686,16.11585045,-28.50264359
0.5548307917,8.687542915,16.15536499,-28.47573471
0.5648267916,8.727269173,16.10941124,-28.22697449
0.5748227916,8.690175056,16.19768715,-28.11606979
0.5848197916,8.671113968,16.20137215,-28.23624802
0.5948157916,8.682215691,16.20604515,-28.26586533
0.6048117918,8.727991104,16.19996452,-28.30831909
0.6148077918,8.77572155,16.19893074,-28.3349762
0.6248037918,8.71137619,16.12325096,-28.36120605
0.6348007917,8.730286598,16.10597038,-28.34706879
0.6447967917,8.708444595,16.10032082,-28.31653214
0.6547884166,8.713875771,16.05877113,-28.15501785
0.6647844168,8.788787842,16.05017662,-28.15820313
0.6747804168,8.757078171,16.09791183,-28.22092819
0.6847774168,8.767461777,16.14551163,-28.26971436
0.6947734167,8.73361969,16.22317886,-28.35393143
0.7047694167,8.763929367,16.18654442,-28.34779358
0.7147654167,8.761737823,16.24630737,-28.35552216
0.7247614167,8.736815453,16.2765255,-28.37294006
0.7347584167,8.745015144,16.21547127,-28.25839996
0.7447544166,8.790030479,16.13950729,-28.1906395
0.7547504166,8.806804657,16.0544548,-28.22593307
0.7647464166,8.762991905,16.04450417,-28.26335526
0.7747424168,8.713877678,16.14225197,-28.36488342
0.7847394168,8.771486282,16.18896866,-28.36756897
0.7947354168,8.774433136,16.25705147,-28.37071228
0.8047314167,8.729381561,16.26892853,-28.27906036
0.8147274167,8.723796844,16.23758507,-28.26246262
0.8247234167,8.770739555,16.1560955,-28.26480103
0.8347204167,8.778511047,16.11864662,-28.20808029
0.8447164167,8.768027306,16.10640526,-28.12854767
0.8547124167,8.855875969,16.05889702,-27.99009323
0.8647084166,8.87197113,16.02983093,-28.09696198
0.8747044166,8.874565125,16.00824165,-28.16794205
0.8847014166,8.84855938,15.97006989,-28.18084335
0.8946974166,8.856843948,15.9759407,-28.20386887
0.9046934168,8.814533234,15.99450874,-28.17100525
0.9146894168,8.804445267,16.06858635,-28.30971527
0.9246854167,8.798933029,16.102911,-28.35572052
0.9346824167,8.758699417,16.10202599,-28.37012482
0.9446784167,8.792822838,16.05228043,-28.3262825
0.9546744167,8.781051636,16.02204323,-28.26858902
0.9646704167,8.805275917,16.08912849,-28.34159088
0.9746664166,8.765187263,16.13376617,-28.28953934
