Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
0.06964983337,5.918118477,-11.48316383,-13.18109703,18.45612356
0.07964583335,5.829518318,-11.45939827,-13.45579338,18.61073529
0.08964245836,5.761065006,-11.40300941,-13.64754295,18.69422163
0.09963845834,5.647512913,-11.33087635,-13.9652195,18.84968213
0.1096344584,5.595491409,-11.31548786,-14.05740166,18.89339385
0.1196314584,5.655351162,-11.4459753,-13.71780968,18.73957443
0.1296274584,5.684286594,-11.54447269,-13.15399933,18.40145815
0.1396234584,5.725051403,-11.57645702,-12.79198074,18.17760551
0.1496204584,5.645766735,-11.50514221,-12.87372017,18.16523191
0.1596164583,5.666068554,-11.56551456,-13.0261097,18.31788726
0.1696124584,5.646728992,-11.63139343,-12.91657066,18.27601322
0.1796094584,5.650678158,-11.5723772,-12.8576889,18.19808346
0.1896054584,5.526311874,-11.46623325,-13.11923409,18.27919394
0.1996014584,5.488012314,-11.40092945,-13.35495758,18.39712922
0.2095984584,5.425653934,-11.32949829,-13.46811104,18.41698312
0.2195944584,5.43252182,-11.32084846,-13.39530373,18.36050286
0.2295904584,5.379961967,-11.2183857,-13.55333138,18.39806946
0.2395874584,5.276092529,-11.1127243,-13.69221878,18.4067012
0.2495834584,5.261070251,-11.12356567,-13.67869568,18.39889369
0.2595794584,5.255517006,-11.11858368,-13.7345562,18.43587253
0.2695764584,5.204443932,-11.04862404,-14.01986122,18.59340847
0.2795724584,5.196544647,-11.04447651,-14.16174507,18.69597714
0.2895684583,5.207625389,-11.03472614,-14.19486618,18.71840723
0.2995654584,5.278075695,-11.16263771,-14.07441521,18.72302665
0.3095614584,5.256111145,-11.10310173,-14.10531235,18.70468949
0.3195574584,5.294167519,-11.1795435,-14.0876236,18.74757427
0.3295544584,5.221447945,-11.05512333,-14.25715828,18.78152903
0.3395504584,5.179115772,-11.06280899,-14.37551308,18.86436745
0.3495464583,5.177688599,-11.13817692,-14.23717117,18.80331054
0.3595434584,5.149730682,-11.12634468,-14.16007233,18.73026749
0.3695394584,5.134219646,-11.09203053,-14.13709259,18.68825138
0.3795354584,5.107918739,-11.07135868,-14.12720108,18.66128686
0.3895324584,5.085805893,-11.08601952,-14.10962677,18.65065194
0.3995284584,5.05027914,-11.02015495,-14.23675346,18.6985102
0.4095244583,5.066049576,-10.93480015,-14.38481331,18.76586173
0.4195214583,5.067361832,-10.99341393,-14.41244507,18.82158013
0.4295174584,5.052463531,-10.94383621,-14.50810623,18.86213363
0.4395134584,4.983141899,-10.8849926,-14.43309212,18.75177099
0.4495104584,4.969733238,-10.91104603,-14.36050415,18.70757209
0.4595064584,4.946671486,-10.85424232,-14.33783531,18.65094251
0.4695024583,4.890647888,-10.83778095,-14.48898888,18.74317826
0.4794994583,4.851866722,-10.77508831,-14.50110626,18.70628829
0.4894954584,4.805843353,-10.72062206,-14.53582954,18.6900564
0.4994914584,4.793225288,-10.66395664,-14.47805405,18.60938013
0.5094884584,4.809598923,-10.54482555,-14.44644737,18.5209457
0.5194844584,4.781817436,-10.51860428,-14.41994286,18.47813751
0.5294804584,4.834100723,-10.43358421,-14.67466736,18.64333853
0.5394774583,4.844407558,-10.35367107,-14.91417885,18.7909425
0.5494734584,4.897281647,-10.33119965,-14.98950768,18.85211909
0.5594694584,4.932175636,-10.39927292,-14.92332458,18.84613622
0.5694664584,5.009774685,-10.40704346,-14.84467888,18.80874496
0.5794624584,5.020823956,-10.43264866,-14.93768883,18.89929572
0.5894584584,5.026992798,-10.43385506,-15.08826447,19.02082313
0.5994554583,5.026313782,-10.421875,-15.30851555,19.18931883
0.6094514584,4.991866112,-10.41539764,-15.55154419,19.37136449
0.6194474584,5.003414154,-10.29054165,-15.7831192,19.49451852
0.6294434584,5.07071209,-10.28959942,-15.87581635,19.58646272
0.6394404584,5.053154945,-10.2131052,-15.97539139,19.62281893
0.6494364584,5.082467079,-10.22719288,-16.12329292,19.75822665
0.6594334583,5.08642149,-10.29617405,-16.42148781,20.03866626
0.6694294584,5.123569489,-10.27639008,-16.75475121,20.31198772
0.6794254584,5.038703918,-10.23048973,-16.97407532,20.44922224
0.6894214584,4.958190918,-10.15063095,-17.16452026,20.54847249
0.6994184584,4.804578781,-10.04770279,-17.38687134,20.64808959
0.7094144584,4.702786446,-9.956427574,-17.62135124,20.77880338
0.7194104583,4.627062321,-9.860554695,-17.93252754,20.98131999
0.7294074583,4.532722473,-9.708127022,-18.27531433,21.18443809
0.7394034584,4.34516716,-9.51061058,-18.56490898,21.30699502
0.7493994584,4.126573563,-9.313306808,-18.90030861,21.47063014
0.7593964584,3.852054834,-9.143626213,-19.29618454,21.69762578
0.7693924584,3.852054834,-9.143626213,-19.29618454,21.69762578
0.7793884584,3.490992546,-8.865060806,-19.66183281,21.84866132
0.7893854583,3.252959728,-8.637462616,-19.90951157,21.94484355
0.7993814584,2.970910549,-8.344072342,-20.37039185,22.21267018
0.8093774584,2.690273762,-7.9111166,-20.88202858,22.49183088
0.8193744584,2.41225481,-7.5221982,-21.51661682,22.92089087
0.8293704584,2.206022024,-7.039949894,-22.18859863,23.38292832
0.8393664584,2.021868706,-6.527874947,-22.66056633,23.66859461
0.8493634583,1.883897424,-6.05003643,-23.05552292,23.91044013
0.8593594584,1.695003986,-5.527023315,-23.53463173,24.23427152
0.8693554584,1.577013373,-4.98884964,-24.12982368,24.69056465
0.8793524584,1.422068119,-4.489654541,-24.76050758,25.2044046
0.8893484584,1.379290104,-4.100255013,-25.29948235,25.66667761
0.8993444584,1.30644393,-3.748425007,-25.86963081,26.17241457
