Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
0.005272250157,-0.4369413757,0.1187031555,9.737850037
0.01526925014,-0.4309538269,0.1167572021,9.748777313
0.02526625013,-0.4258644104,0.1169068909,9.755962372
0.03526325012,-0.4342469788,0.1245410156,9.753717041
0.0452602501,-0.4364923096,0.1251397705,9.754914551
0.05525725009,-0.427660675,0.1243913269,9.750423889
0.06525425008,-0.422870636,0.1137634277,9.7502742
0.07525125006,-0.4324507141,0.130229187,9.735005951
0.08524725004,-0.4331991577,0.1194515991,9.744735718
0.09524425003,-0.4360432434,0.1058299255,9.74802887
0.10524125,-0.4328997803,0.1170565796,9.756860504
0.11523825,-0.430355072,0.1152603149,9.748477936
0.12523525,-0.4318519592,0.112565918,9.746981049
0.13523225,-0.4278103638,0.117355957,9.755962372
0.14522925,-0.4324507141,0.1236428833,9.753118286
0.1552262499,-0.423918457,0.122744751,9.753417664
0.1652232502,-0.4254153442,0.1231938171,9.755213928
0.1752202502,-0.4381388855,0.1216969299,9.744586029
0.1852172501,-0.4281097412,0.1222956848,9.73515564
0.1952142501,-0.4423301697,0.1151106262,9.742490387
0.2052112501,-0.4426295471,0.1215472412,9.759854279
0.2152082501,-0.4257147217,0.1176553345,9.761500854
0.225204875,-0.4248165894,0.1145118713,9.753267975
0.235201875,-0.4324507141,0.1131646729,9.760752411
0.245198875,-0.4373904419,0.1230441284,9.7609021
0.255195875,-0.4282594299,0.1224453735,9.747130737
0.2651928752,-0.4299060059,0.1110690308,9.743089142
0.2751898752,-0.4328997803,0.1089733887,9.750423889
0.2851868751,-0.425565033,0.1287322998,9.760153656
0.2951838751,-0.4312532043,0.123792572,9.749825134
0.3051808751,-0.4412823486,0.1236428833,9.749974823
0.3151778751,-0.429307251,0.1197509766,9.747879181
0.3251748751,-0.4263134766,0.1240919495,9.759854279
0.3351718751,-0.4373904419,0.1191522217,9.744885406
0.3451688751,-0.4369413757,0.120050354,9.748627625
0.3551658751,-0.4264631653,0.1206491089,9.758207703
0.365162875,-0.4300556946,0.1110690308,9.754764862
0.375159875,-0.4346960449,0.1134640503,9.756561127
0.385156875,-0.4258644104,0.1219963074,9.748178558
0.395153875,-0.4300556946,0.1218466187,9.73515564
0.405150875,-0.4420307922,0.1257385254,9.754016418
0.415147875,-0.4243675232,0.1276844788,9.756561127
0.425144875,-0.4150868225,0.1362167358,9.757159882
0.4351408752,-0.4358935547,0.1148112488,9.75386673
0.4451378752,-0.4402345276,0.1222956848,9.749825134
0.4551348751,-0.4393363953,0.1284329224,9.738299103
0.4651318751,-0.4342469788,0.1228944397,9.746681671
0.4751288751,-0.4288581848,0.1196012878,9.760003967
0.4851258751,-0.4260140991,0.1113684082,9.748627625
0.4951228751,-0.4309538269,0.1131646729,9.751172333
0.5051198751,-0.4408332825,0.1254391479,9.748627625
0.5151168751,-0.4382885742,0.121098175,9.754914551
0.525113875,-0.4234693909,0.1184037781,9.744885406
0.535110875,-0.4297563171,0.1202000427,9.761051788
0.545107875,-0.4463717651,0.1230441284,9.749825134
0.555104875,-0.4382885742,0.1170565796,9.752070465
0.565101875,-0.4430786133,0.1245410156,9.758806458
0.575098875,-0.4269122314,0.1131646729,9.757459259
0.585095875,-0.4242178345,0.1140628052,9.757159882
0.595092875,-0.4317022705,0.113613739,9.754764862
0.6050898752,-0.4396357727,0.1172062683,9.738299103
0.6150868752,-0.4363426208,0.1213975525,9.754166107
0.6250838751,-0.4279600525,0.1158590698,9.749376068
0.6350808751,-0.4314028931,0.1206491089,9.75730957
0.6450778751,-0.4291575623,0.1239422607,9.746681671
0.6550748751,-0.4358935547,0.1260379028,9.744586029
0.6650718751,-0.4448748779,0.1206491089,9.758357391
0.6750688751,-0.43409729,0.113613739,9.752369843
0.6850658751,-0.4287084961,0.1209484863,9.757758636
0.695062875,-0.439486084,0.1194515991,9.755962372
0.705059875,-0.4388873291,0.1240919495,9.750872955
0.715056875,-0.4441264343,0.1182540894,9.765243073
0.725053875,-0.4477189636,0.113613739,9.750573578
0.735050875,-0.4233197021,0.1149609375,9.749825134
0.745047875,-0.4291575623,0.1196012878,9.738897858
0.755044875,-0.4387376404,0.1182540894,9.753717041
0.765041875,-0.4426295471,0.1236428833,9.744286652
0.7750378752,-0.4261637878,0.1215472412,9.739945679
0.7850358752,-0.4206253052,0.1202000427,9.752968597
0.7950318751,-0.3326083374,0.1589694214,9.750573578
0.8050288751,1.171014862,0.3724255371,9.783505096
0.8150258751,0.7854167175,-0.4010160828,9.78664856
0.8250228751,-0.3918850708,0.5325924683,9.761500854
0.8350198751,-0.3667373657,0.3294648743,9.753118286
0.8450168751,-0.01047821045,0.05763015747,9.759105835
0.8550138751,0.1631607056,0.1088237,9.764494629
0.865010875,-0.003442840576,0.183817749,9.76314743
0.875007875,-0.1128652954,0.1187031555,9.752070465
0.885004875,-0.2676434326,0.08637039185,9.759105835
0.895001875,-0.3329077148,0.06406677246,9.745035095
0.904998875,-0.4555027771,0.09849517822,9.747430115
0.914995875,-0.5709127808,0.1092727661,9.74802887
0.924992875,-0.5480104065,0.110919342,9.761500854
0.9349898749,-0.3872447205,0.03382965088,9.759255524
0.9449868752,-0.292641449,0.03023712158,9.737700348
0.9549838752,-0.3697311401,0.07679031372,9.755363617
0.9649808751,-0.3403921509,0.09131011963,9.743837585
0.9749778751,-0.3059637451,0.04610412598,9.756411438
0.9849748751,-0.3302133179,-0.0004490661621,9.767039337
0.9949718751,-0.2975811768,-0.008981323242,9.746531982
1.004968875,-0.22348526,0.04715194702,9.753567352
1.014965875,-0.2080673218,0.07649093628,9.756561127
1.024962875,-0.3688330078,0.07888595581,9.758806458
1.034959875,-0.3833528137,0.1142124939,9.751172333
1.044956875,-0.2643502808,0.1407073975,9.758806458
1.054953875,-0.102387085,0.1013392639,9.760303345
1.064950875,-0.160765686,0.06301895142,9.762848053
1.074947875,-0.2643502808,0.05628295898,9.762848053
1.084944875,-0.2570155334,0.07993377686,9.764494629
1.094941875,-0.2643502808,0.0802331543,9.752818909
1.104938875,-0.2815644836,0.1182540894,9.762398987
1.114935875,-0.2558180237,0.1561253357,9.752818909
1.124932875,-0.2463876343,0.08262817383,9.775421906
1.134929875,-0.3179388428,0.06691085815,9.768685913
1.144925875,-0.396076355,0.05777984619,9.75506424
1.154922875,-0.3245251465,0.06750961304,9.749825134
1.164919875,-0.2082170105,-0.0130229187,9.786947937
1.174916875,-0.1910028076,-0.02978805542,9.739197235
1.184913875,-0.3255729675,-0.04475692749,9.773475952
1.194910875,-0.3362008667,-0.01526824951,9.736353149
1.204907875,-0.3751199341,0.001646575928,9.841135254
1.214904875,-0.3281176758,0.01706451416,9.668693848
1.224901417,-0.3164419556,0.0001496887207,9.799372101
1.234898417,-0.3152444458,0.03338058472,9.801617432
1.244895417,-0.2387535095,-0.001945953369,9.704469452
1.254892417,-0.3463796997,-0.01122665405,9.805659027
1.264889417,-0.4888833618,0.1514849854,9.755812683
1.274886417,-0.3165916443,0.2321672058,9.707912292
1.284883417,-0.2978805542,0.08876541138,9.822124786
1.294880417,-0.4206253052,0.139360199,9.701026611
1.304877417,-0.4761598206,0.08547225952,9.765841827
1.314874417,-0.4803511047,0.1035845947,9.798773346
1.324871417,-0.4950205994,0.1085243225,9.670490112
1.334868417,-0.6089337158,0.1070274353,9.854756927
1.344865417,-0.5963598633,0.08113128662,9.649833069
1.354862417,-0.7255412292,0.07679031372,9.800719299
1.364859417,-0.8246351624,0.1954934692,9.721833344
1.374856417,-0.860710144,0.2028282166,9.744136963
1.384853417,-0.7872129822,0.1863624573,9.74683136
1.394850417,-0.6390211487,0.1558259583,9.744286652
1.404847417,-0.5206173706,0.06706054688,9.739646301
1.414844417,-0.436791687,0.2022294617,9.7900914
1.424841417,-0.5083428955,0.07873626709,9.697733459
1.434838417,-0.6318360901,0.1778302002,9.792037354
1.444835417,-0.876277771,0.1502874756,9.714498596
1.454832417,-0.9854008484,0.2847079468,9.764195251
1.464829417,-0.9714797974,0.1471440125,9.746681671
1.474825417,-0.8550219727,0.2815644836,9.735455017
1.484822417,-0.5496569824,0.09460327148,9.758956146
1.494819417,-0.6134243774,0.1407073975,9.753717041
1.504816417,-0.7442523193,0.1050814819,9.751172333
1.514813417,-0.4159849548,0.2378553772,9.751621399
1.524810417,-0.4004173279,0.07694000244,9.762698364
1.534807417,-0.5158273315,0.2791694641,9.733209686
1.544804417,-0.369282074,0.1787283325,9.776170349
1.554801417,-0.4026626587,0.2146536255,9.725425873
1.564798417,-0.3812571716,0.1257385254,9.771080933
1.574795417,-0.4716691589,0.1562750244,9.741292877
1.584792417,-0.4376898193,0.1043330383,9.757908325
1.594789417,-0.2890489197,0.0209564209,9.74683136
1.604786417,-0.3844006348,0.02589614868,9.750723267
1.614783417,-0.5011578369,0.1181044006,9.753717041
1.624780417,-0.5322930908,0.1088237,9.747729492
1.634777417,-0.3695814514,0.1600172424,9.762548676
1.644774417,-0.2874023438,0.05972579956,9.762249298
1.654771417,-0.3936813354,0.1089733887,9.75730957
1.664768417,-0.2627037048,0.1462458801,9.761500854
1.674765417,-0.2884501648,0.06825805664,9.748328247
1.684762417,-0.3848497009,0.1469943237,9.752070465
1.694759417,-0.5195695496,0.1589694214,9.75730957
1.704756417,-0.3888912964,0.1212478638,9.745783539
1.714753417,-0.3224295044,0.07873626709,9.765243073
1.724750417,-0.3996688843,0.1134640503,9.751920776
1.734747417,-0.4960684204,0.1362167358,9.750124512
1.744744417,-0.2676434326,0.263152771,9.757159882
1.754741417,-0.3345542908,0.06466552734,9.751771088
1.764738417,-0.45984375,0.2177970886,9.759854279
1.774735417,-0.4207749939,0.1767823792,9.757159882
1.784732417,-0.4665797424,0.15328125,9.744885406
1.794728417,-0.5204676819,0.07843688965,9.745184784
1.804725417,-0.5267546082,0.1767823792,9.742640076
1.814722417,-0.4107458496,0.03517684937,9.760752411
1.824719417,-0.4897814941,0.09250762939,9.752519531
1.834716417,-0.4427792358,0.1297801208,9.75386673
