Time (s),X (µT),Y (µT),Z (µT)
0.0452602501,2.47196579,10.19251251,-32.17779541
0.05525725009,2.461406708,10.17215729,-32.31168365
0.06525425008,2.47599411,10.17033672,-32.29727936
0.07525125006,2.492465973,10.15691376,-32.04592133
0.08524725004,2.510548592,9.985226631,-31.60993195
0.09524425003,2.541728973,9.937541962,-31.49041748
0.10524125,2.547754288,9.953825951,-31.61563492
0.11523825,2.54873848,9.967782974,-31.77005005
0.12523525,2.496992111,9.982736588,-32.08305359
0.13523225,2.521257401,10.08667755,-32.16384125
0.14522925,2.613329887,10.04816628,-32.03965378
0.1552262499,2.591373444,9.973892212,-31.93201447
0.1652232502,2.579644203,9.951257706,-31.94697571
0.1752202502,2.553371429,10.06741333,-32.18589401
0.1852172501,2.580170631,10.09898758,-32.28067017
0.1952142501,2.506320953,10.16503239,-32.32686615
0.2052112501,2.460217476,10.16265202,-32.3129425
0.2152082501,2.416279793,10.17076206,-32.20129395
0.225204875,2.425169945,10.24232101,-32.31695938
0.235201875,2.400322914,10.28192139,-32.3433609
0.245198875,2.472894669,10.24447441,-32.21429443
0.255195875,2.514823914,10.15450096,-31.93614578
0.2651928752,2.527696609,10.11304379,-31.96272278
0.2751898752,2.482052803,10.13841343,-32.11241531
0.2851868751,2.481516838,10.16201878,-32.18612671
0.2951838751,2.458037376,10.1757555,-32.20954132
0.3051808751,2.538889885,10.16685009,-32.14596176
0.3151778751,2.522287369,10.19695473,-32.05937958
0.3251748751,2.49228096,10.2410326,-32.22998047
0.3351718751,2.483151436,10.21354771,-32.33283997
0.3451688751,2.472747803,10.1287899,-32.36735535
0.3551658751,2.46377182,10.10522366,-32.26362991
0.365162875,2.509149551,10.09628963,-32.12853241
0.375159875,2.470977783,10.22549248,-32.18564987
0.385156875,2.445966721,10.29890919,-32.37455368
0.395153875,2.468747139,10.25779057,-32.40332031
0.405150875,2.474510193,10.20184517,-32.41012192
0.415147875,2.495733261,10.19769001,-32.40584564
0.425144875,2.51331234,10.16513538,-32.42474747
0.4351408752,2.43614006,10.21155262,-32.41076279
0.4451378752,2.480621338,10.25447655,-32.40447617
0.4551348751,2.461210251,10.21371746,-32.32537079
0.4651318751,2.500735283,10.21055508,-32.252491
0.4751288751,2.478484154,10.27064323,-32.22424698
0.4851258751,2.412167549,10.20416069,-32.11498642
0.4951228751,2.378196716,10.28972721,-32.15249634
0.5051198751,2.363965034,10.40623283,-32.24430084
0.5151168751,2.435682297,10.33985996,-32.32326126
0.525113875,2.454827309,10.30352497,-32.26234818
0.535110875,2.456007957,10.23827648,-32.26769257
0.545107875,2.432110786,10.26135063,-32.2773056
0.555104875,2.439128876,10.2658987,-32.22566605
0.565101875,2.392496109,10.28798771,-32.27471924
0.575098875,2.466529846,10.25574112,-32.34228897
0.585095875,2.482208252,10.22236252,-32.43332672
0.595092875,2.496287346,10.19088936,-32.36593628
0.6050898752,2.461716652,10.18158245,-32.41407394
0.6150868752,2.43576622,10.16986179,-32.51235199
0.6250838751,2.465199471,10.12186909,-32.45022202
0.6350808751,2.509643555,10.17073631,-32.41514206
0.6450778751,2.540270805,10.14662457,-32.38375092
0.6550748751,2.552939415,10.15196609,-32.2821846
0.6650718751,2.580887794,10.11993027,-32.05876541
0.6750688751,2.551422119,10.22753716,-32.19551849
0.6850658751,2.566297531,10.23101521,-32.21057892
0.695062875,2.494566917,10.19782734,-32.21912003
0.705059875,2.503461838,10.22128201,-32.17335892
0.715056875,2.486759186,10.16294193,-32.20822144
0.725053875,2.491894722,10.20065594,-32.25246429
0.735050875,2.491195679,10.24367905,-32.22370529
0.745047875,2.506082535,10.26352119,-32.10568619
0.755044875,2.514565468,10.30905628,-32.00955582
0.765041875,2.517962456,10.29969215,-31.9714241
0.7750378752,2.484882355,10.216609,-32.03080368
0.7850358752,2.433156967,10.22536182,-31.99980545
0.7950318751,2.404277802,10.26632023,-31.91537857
0.8050288751,2.414669991,10.3536911,-31.96578598
0.8150258751,2.41345787,10.35695457,-32.05410004
0.8250228751,2.405362129,10.36196613,-32.05640793
0.8350198751,2.419006348,10.30315781,-32.00788879
0.8450168751,2.444612503,10.28873539,-32.04696655
0.8550138751,2.423387527,10.28669357,-32.0537796
0.865010875,2.418744087,10.28436565,-32.02760696
0.875007875,2.456971169,10.31449699,-31.89109039
0.885004875,2.449217796,10.34582138,-31.79204559
0.895001875,2.446748734,10.34002209,-31.83294296
0.904998875,2.414193153,10.44619942,-31.74174118
0.914995875,2.413212776,10.4281044,-31.71752167
0.924992875,2.336816788,10.49050331,-31.9302597
0.9349898749,2.305838585,10.49137497,-31.9494133
0.9449868752,2.319890976,10.43195629,-31.99383163
0.9549838752,2.299929619,10.42453098,-31.973423
0.9649808751,2.299674034,10.48255444,-31.98803711
0.9749778751,2.215373039,10.49327183,-31.97771072
0.9849748751,2.19833374,10.53131866,-32.001297
0.9949718751,2.200885773,10.49037266,-31.96979523
1.004968875,2.210235596,10.45409298,-32.00259399
1.014965875,2.192090034,10.39817142,-32.05565643
1.024962875,2.196837425,10.37135029,-32.04536819
1.034959875,2.194117546,10.32961464,-32.08595276
1.044956875,2.242028236,10.30831623,-32.06723022
1.054953875,2.230589867,10.32514572,-32.03919983
1.064950875,2.246055603,10.30761147,-31.98196793
1.074947875,2.20778656,10.2967701,-31.96902847
1.084944875,2.122153282,10.36230278,-32.06974792
1.094941875,2.090216637,10.4073925,-32.11515808
1.104938875,2.072601318,10.40963745,-32.02696609
1.114935875,2.075076103,10.40099716,-31.96664047
1.124932875,2.068074226,10.39435768,-31.98628235
1.134929875,1.982170105,10.41997623,-32.06433105
1.144925875,1.939349174,10.43741894,-32.01179123
1.154922875,1.856404305,10.45322323,-31.94909286
1.164919875,1.859848022,10.48960686,-31.9606781
1.174916875,1.815307617,10.48728848,-32.00792313
1.184913875,1.735334396,10.50898457,-32.01663208
1.194910875,1.656247139,10.53741741,-31.98171234
1.204907875,1.635047913,10.51000023,-31.95666504
1.214904875,1.61083889,10.51801395,-31.90684509
1.224901417,1.561627388,10.46413231,-31.9811058
1.234898417,1.498390198,10.37955666,-31.99420929
1.244895417,1.524471283,10.42515182,-31.87526321
1.254892417,1.481789589,10.49568844,-31.80259323
1.264889417,1.468833923,10.56917572,-31.79160309
1.274886417,1.409529686,10.61240292,-31.80995941
1.284883417,1.327821732,10.59433746,-31.87448883
1.294880417,1.331812859,10.63388634,-31.96157074
1.304877417,1.259429932,10.74057007,-31.98648834
1.314874417,1.244504929,10.73102379,-31.88924408
1.324871417,1.164259911,10.81082153,-31.91704178
1.334868417,1.164259911,10.81082153,-31.91704178
1.344865417,1.089920044,10.9193325,-31.95765686
1.354862417,1.007413864,10.95103455,-32.04349899
1.364859417,0.9819345474,10.97502327,-32.0240593
1.374856417,0.9787654877,11.06849098,-31.95179749
1.384853417,0.9726457596,11.06950569,-31.90519714
1.394850417,0.9513311386,11.11545563,-31.8575058
1.404847417,0.92648983,11.18154144,-31.84601593
1.414844417,0.9554424286,11.27211189,-31.84230804
1.424841417,0.928358078,11.3989048,-31.81526184
1.434838417,0.8545427322,11.55924797,-31.8845787
1.444835417,0.886847496,11.64559937,-31.95450974
1.454832417,0.9042615891,11.66750145,-31.99335098
1.464829417,0.9282884598,11.67479515,-31.99840164
