Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
0.004520416725,-0.3174897766,0.1106199646,9.769584045
0.0145154167,-0.3107537842,0.1074765015,9.744735718
0.02450941666,-0.3164419556,0.1056802368,9.75730957
0.03450441663,-0.3056643677,0.1017883301,9.740544434
0.0444994166,-0.31943573,0.1020877075,9.758656769
0.0544934168,-0.3185375977,0.1067280579,9.746232605
0.06448841677,-0.3097059631,0.1029858398,9.771230621
0.07448341674,-0.3047662354,0.1152603149,9.751621399
0.08447741671,-0.3104544067,0.1038839722,9.756411438
0.09447241668,-0.3152444458,0.1086740112,9.749376068
0.1044674166,-0.3225791931,0.1089733887,9.746531982
0.1144614166,-0.3131488037,0.1038839722,9.757908325
0.1244564168,-0.3040177917,0.1068777466,9.755812683
0.1344514168,-0.3137475586,0.1086740112,9.761800232
0.1444454168,-0.3189866638,0.1077758789,9.742490387
0.1544404167,-0.3171903992,0.1094224548,9.764195251
0.1644354167,-0.3056643677,0.1077758789,9.757908325
0.1744294167,-0.3019221497,0.1008901978,9.754315796
0.1844244166,-0.3149450684,0.1050814819,9.758656769
0.1944194166,-0.316741333,0.1101708984,9.760602722
0.2044134168,-0.3159928894,0.1064286804,9.752369843
0.2144084168,-0.3158432007,0.09894424438,9.754315796
0.2244034167,-0.3053649902,0.1044827271,9.755513306
0.2343984167,-0.3095562744,0.119002533,9.755962372
0.2443924167,-0.3177891541,0.1091230774,9.751172333
0.2543874166,-0.3203338623,0.1083746338,9.751621399
0.2643824166,-0.3088078308,0.1028361511,9.762848053
0.2743764168,-0.3035687256,0.09924362183,9.755812683
0.2843714168,-0.3121009827,0.1134640503,9.760602722
0.2943664168,-0.314046936,0.102387085,9.758058014
0.3043604167,-0.3131488037,0.1035845947,9.748627625
0.3143554167,-0.3201841736,0.109871521,9.746082916
0.3243504167,-0.3082090759,0.1050814819,9.762997742
0.3343444166,-0.3029699707,0.1050814819,9.756411438
0.3443394166,-0.3068618774,0.1167572021,9.764494629
0.3543344168,-0.3152444458,0.1092727661,9.755662994
0.3643284168,-0.3106040955,0.09939331055,9.758357391
0.3743234167,-0.3097059631,0.1043330383,9.749974823
0.3843184167,-0.3152444458,0.106129303,9.763446808
0.3943124167,-0.3116519165,0.1059796143,9.758656769
0.4043074166,-0.3119512939,0.106129303,9.748627625
0.4143024166,-0.314046936,0.1056802368,9.75266922
0.4242964168,-0.3158432007,0.107177124,9.75730957
0.4342914168,-0.3065625,0.1124162292,9.764943695
0.4442864168,-0.302820282,0.107177124,9.757758636
0.4542804167,-0.3183879089,0.1022373962,9.752968597
0.4642754167,-0.3192860413,0.1149609375,9.750872955
0.4742704167,-0.316741333,0.09924362183,9.762997742
0.4842654166,-0.3097059631,0.1101708984,9.751621399
0.4942594166,-0.3023712158,0.1100212097,9.757010193
0.5042544168,-0.3040177917,0.1086740112,9.765841827
0.5142494168,-0.3161425781,0.1112187195,9.757758636
0.5242434167,-0.3119512939,0.1091230774,9.759554901
0.5342384167,-0.3068618774,0.1047821045,9.757908325
0.5442334167,-0.3104544067,0.1016386414,9.771080933
0.5542274166,-0.3100053406,0.1037342834,9.770931244
0.5642224166,-0.3122506714,0.1097218323,9.750573578
0.5742174168,-0.3146456909,0.1115180969,9.760602722
0.5842114168,-0.3191363525,0.1127156067,9.748477936
0.5942064167,-0.3112028503,0.1064286804,9.764045563
0.6042014167,-0.3112028503,0.1127156067,9.756411438
0.6141954167,-0.3267704773,0.1086740112,9.750723267
0.6241904167,-0.3115022278,0.1094224548,9.76673996
0.6341854166,-0.3052153015,0.1152603149,9.7502742
0.6441794168,-0.3118016052,0.113613739,9.762398987
0.6541744168,-0.3116519165,0.1002914429,9.759255524
