Time (s),X (µT),Y (µT),Z (µT)
0.0444994166,5.916519165,12.59309769,-30.3834095
0.0544934168,5.992980957,12.67279434,-30.53035927
0.06448841677,6.020202637,12.71069336,-30.55581093
0.07448341674,6.102563858,12.80701828,-30.65023994
0.08447741671,6.110460281,12.81569099,-30.65913582
0.09447241668,6.093757629,12.75276184,-30.58876228
0.1044674166,6.105082512,12.62012482,-30.34876442
0.1144614166,6.159087181,12.52398491,-29.95721245
0.1244564168,6.162657738,12.4307766,-29.80918312
0.1344514168,6.145465851,12.42614746,-29.76402855
0.1444454168,6.181693077,12.3894825,-29.62757683
0.1544404167,6.175771713,12.38311958,-29.74424934
0.1644354167,6.150158882,12.38627625,-30.11650658
0.1744294167,6.124300957,12.52937698,-30.3120327
0.1844244166,6.103526115,12.6326313,-30.46825981
0.1944194166,6.070683479,12.65747833,-30.57627678
0.2044134168,6.128720284,12.59350777,-30.48682213
0.2144084168,6.131331444,12.52414894,-30.24237633
0.2244034167,6.076599121,12.57285118,-30.22104454
0.2343984167,6.025948524,12.64157677,-30.37323189
0.2443924167,6.010528564,12.66407394,-30.43361855
0.2543874166,6.078240395,12.59239388,-30.4644413
0.2643824166,6.099007607,12.64784813,-30.57758141
0.2743764168,6.079843521,12.73397446,-30.5897274
0.2843714168,6.097029686,12.67668152,-30.53166389
0.2943664168,6.10324192,12.72463799,-30.5851078
0.3043604167,6.11741066,12.76605797,-30.59433556
0.3143554167,6.100276947,12.74753189,-30.56287193
0.3243504167,6.099472046,12.68226433,-30.59612083
0.3343444166,6.101524353,12.65262032,-30.68103218
0.3443394166,6.132236481,12.71116447,-30.65279198
0.3543344168,6.115455627,12.67990494,-30.49011803
0.3643284168,6.082604408,12.65665436,-30.47856712
0.3743234167,6.059729576,12.70773888,-30.38886833
0.3843184167,6.122120857,12.74165344,-30.39859581
0.3943124167,6.202721596,12.67660713,-30.24986458
0.4043074166,6.205574989,12.58063507,-30.21746635
0.4143024166,6.142048836,12.54590797,-30.22895241
0.4242964168,6.148900986,12.55701637,-30.22841072
0.4342914168,6.123276711,12.63285637,-30.30041313
0.4442864168,6.147738457,12.64409256,-30.2266674
0.4542804167,6.145792961,12.66189575,-30.18133736
0.4642754167,6.160739899,12.66852379,-30.27082634
0.4742704167,6.209269524,12.63863373,-30.28885078
0.4842654166,6.165554047,12.67494774,-30.32864952
0.4942594166,6.165207863,12.65017891,-30.36783409
0.5042544168,6.174518585,12.62989807,-30.39479256
0.5142494168,6.174518585,12.62989807,-30.39479256
0.5242434167,6.203323364,12.62787056,-30.44825935
0.5342384167,6.152018547,12.67954826,-30.45580101
0.5442334167,6.139239311,12.75911903,-30.50290108
0.5542274166,6.11285305,12.81344414,-30.51011467
0.5642224166,6.180008888,12.73191643,-30.37448692
0.5742174168,6.149880409,12.70947647,-30.18871498
0.5842114168,6.148652077,12.70232582,-30.25343132
0.5942064167,6.122071266,12.64094162,-30.40279579
0.6042014167,6.148683548,12.56501579,-30.41809273
0.6141954167,6.144468307,12.57647133,-30.58726692
0.6241904167,6.130933762,12.57897758,-30.59800911
0.6341854166,6.125967979,12.61096573,-30.65141106
0.6441794168,6.13322258,12.52324486,-30.64327049
0.6541744168,6.132699966,12.51868057,-30.50356483
0.6641694168,6.148259163,12.5658493,-30.46127129
0.6741676668,6.108160973,12.58141327,-30.56199455
0.6841616668,6.027989388,12.57742691,-30.64753532
0.6941566668,5.999593735,12.5892601,-30.64144707
0.7041516667,6.08243084,12.58034706,-30.65450478
0.7141456667,6.053414345,12.69887924,-30.60983086
0.7241406667,6.043038368,12.77266502,-30.6331501
0.7341356666,6.083323479,12.72140121,-30.66632271
