Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
0.005932749948,-0.3106040955,0.08801696777,9.754315796
0.01592775015,-0.3176394653,0.09280700684,9.754465485
0.02592375013,-0.3119512939,0.09460327148,9.750872955
0.03591975011,-0.3206332397,0.08951385498,9.769134979
0.04591475008,-0.3147953796,0.08637039185,9.757608948
0.05591075006,-0.3188369751,0.08547225952,9.759405212
0.06590575003,-0.314046936,0.09475296021,9.754914551
0.07590175001,-0.3094065857,0.08756790161,9.750723267
0.08589774999,-0.3153941345,0.0896635437,9.763297119
0.09589274996,-0.3228785706,0.08861572266,9.752519531
0.1058887499,-0.3192860413,0.09220825195,9.768236847
0.1158837501,-0.3052153015,0.0860710144,9.74802887
0.1258797501,-0.3032693481,0.08726852417,9.75506424
0.1358757501,-0.312999115,0.09804611206,9.75386673
0.1458672085,-0.3180885315,0.09654922485,9.759405212
0.1558632085,-0.3168910217,0.09190887451,9.753267975
0.1658582084,-0.3155438232,0.09175918579,9.759255524
0.1758542084,-0.3149450684,0.08592132568,9.758207703
0.1858502084,-0.310304718,0.08412506104,9.752968597
0.1958452084,-0.316741333,0.09071136475,9.75850708
0.2058412083,-0.3097059631,0.09310638428,9.756112061
0.2158372083,-0.316741333,0.09026229858,9.757908325
0.2258322083,-0.3192860413,0.0889151001,9.75970459
0.2358282083,-0.3098556519,0.08756790161,9.761051788
0.2458232085,-0.3137475586,0.08756790161,9.755962372
0.2558192085,-0.3176394653,0.08816665649,9.75850708
0.2658152084,-0.3161425781,0.09086105347,9.756561127
0.2758102084,-0.3161425781,0.08771759033,9.758357391
0.2858062084,-0.3155438232,0.08726852417,9.758656769
0.2958012084,-0.3216810608,0.09086105347,9.754016418
0.3057972083,-0.3138972473,0.09280700684,9.755513306
0.3157932083,-0.3185375977,0.08592132568,9.761650543
0.3257882083,-0.3155438232,0.08517288208,9.771979065
0.3357842085,-0.3098556519,0.08397537231,9.752070465
0.3457792085,-0.3203338623,0.09849517822,9.759255524
0.3557752084,-0.3236270142,0.09355545044,9.752070465
0.3657712084,-0.3185375977,0.08756790161,9.753267975
0.3757662084,-0.3188369751,0.09460327148,9.762398987
0.3857622084,-0.3124003601,0.0845741272,9.75147171
0.3957572083,-0.3237767029,0.09145980835,9.752818909
0.4057532083,-0.3206332397,0.09415420532,9.74802887
0.4157492083,-0.3144960022,0.09101074219,9.751771088
0.4257442083,-0.307610321,0.09101074219,9.75506424
0.4357402085,-0.3147953796,0.09595046997,9.75850708
0.4457352085,-0.3132984924,0.09999206543,9.754615173
0.4557312084,-0.3149450684,0.09789642334,9.745933228
0.4657272084,-0.3180885315,0.09295669556,9.751322021
0.4757222084,-0.3260220337,0.09969268799,9.760602722
0.4857182084,-0.3121009827,0.09415420532,9.764943695
0.4957142083,-0.3239263916,0.09011260986,9.74802887
0.5057092083,-0.3179388428,0.09415420532,9.761800232
0.5157052083,-0.3088078308,0.08577163696,9.736802216
0.5257002085,-0.3147953796,0.08786727905,9.769134979
0.5356962085,-0.3158432007,0.08801696777,9.745484161
0.5456922085,-0.3201841736,0.09415420532,9.76554245
0.5556872084,-0.3155438232,0.08996292114,9.758956146
0.5656832084,-0.3222798157,0.09684860229,9.760752411
0.5756782084,-0.3170407104,0.09280700684,9.762099609
