Time (s),X (µT),Y (µT),Z (µT)
0.05091074994,-4.121814728,20.31725693,-28.65459824
0.06090675015,-4.124233246,20.31328201,-28.77501297
0.07090175012,-4.127495766,20.32131577,-28.82517624
0.0808977501,-4.059114456,20.35023308,-28.83698654
0.09089375008,-3.978577614,20.28721428,-28.60529327
0.1008887501,-3.993872643,20.27037048,-28.41689682
0.11088475,-4.021149635,20.31664085,-28.58899689
0.12087975,-4.068112373,20.30412483,-28.75014114
0.13087575,-4.09458828,20.28355408,-28.62394714
0.14087175,-4.080433846,20.26342201,-28.36330414
0.1508632083,-4.103356361,20.31282997,-28.23209763
0.1608592083,-4.050486565,20.40888023,-28.48926926
0.1708542083,-4.085697174,20.43070602,-28.46841049
0.1808502083,-4.073700905,20.42493057,-28.45532227
0.1908462085,-4.069533348,20.47178841,-28.54668808
0.2008412085,-4.053108215,20.37846375,-28.66080475
0.2108372084,-4.066029549,20.36956406,-28.68138504
0.2208332084,-4.087380409,20.33203506,-28.67295074
0.2308282084,-4.083021164,20.37293243,-28.71837616
0.2408242084,-4.072851181,20.31540871,-28.67947388
0.2508192083,-4.032024384,20.32728577,-28.6812706
0.2608152083,-4.061142921,20.35927773,-28.64110947
0.2708112083,-4.089385033,20.41169739,-28.61863327
0.2808062085,-4.149502754,20.43397331,-28.60972595
0.2908022085,-4.163916588,20.3895874,-28.57761765
0.3007972084,-4.192961693,20.39070892,-28.60327148
0.3107932084,-4.1254282,20.38581085,-28.60773468
0.3207892084,-4.148834229,20.43668175,-28.4600563
0.3307842084,-4.107149124,20.44308281,-28.39905167
0.3407802084,-4.109420776,20.49928856,-28.60889435
0.3507752083,-4.0813694,20.5192585,-28.70378876
0.3607712083,-4.080022812,20.41462517,-28.64110184
0.3707672083,-4.088502884,20.37716103,-28.56194305
0.3807622085,-4.093634605,20.407444,-28.60734558
0.3907582085,-4.105039597,20.40371704,-28.51488495
0.4007532084,-4.076705933,20.38640213,-28.57329941
0.4107492084,-4.051438332,20.44702339,-28.69563675
0.4207452084,-4.098368645,20.47667885,-28.72576904
0.4307402084,-4.094958305,20.45503426,-28.76309967
0.4407362083,-4.117620468,20.48665428,-28.77093887
0.4507312083,-4.060070038,20.42261505,-28.62253952
0.4607272083,-4.060850143,20.30786896,-28.48265076
0.4707232083,-4.093776703,20.4928112,-28.62802887
0.4807182085,-4.129346848,20.50433731,-28.66891098
0.4907142085,-4.184607506,20.56384659,-28.61257172
0.5007102084,-4.177564621,20.50476456,-28.60898209
0.5107052084,-4.200874329,20.54094505,-28.63563538
0.5207012084,-4.12706852,20.4644928,-28.61819077
0.5306962084,-4.055063248,20.44155502,-28.59062958
0.5406922083,-4.118578911,20.46957588,-28.62876129
0.5506882083,-4.057089806,20.45685387,-28.73247528
0.5606832083,-4.058452606,20.43432808,-28.74307632
0.5706792085,-4.061613083,20.43794823,-28.65048218
0.5806742085,-4.059346199,20.42737389,-28.5713501
0.5906702084,-4.112342834,20.44927597,-28.58529663
0.6006662084,-4.084537506,20.45668793,-28.60599136
0.6106612084,-4.058666229,20.40076828,-28.5584259
0.6206572084,-4.121569633,20.46149445,-28.56373978
0.6306522083,-4.149951935,20.43937111,-28.62795258
0.6406482083,-4.136634827,20.3844223,-28.64530182
0.6506442083,-4.088492393,20.31222725,-28.63414764
0.6606392083,-4.052663803,20.37112617,-28.56824112
0.6706352085,-4.108345032,20.42311478,-28.60840607
0.6806302085,-4.200233459,20.50132179,-28.65063095
0.6906262084,-4.216932297,20.45889282,-28.67129517
0.7006222084,-4.127381325,20.4542408,-28.72081757
0.7106172084,-4.130090714,20.42024422,-28.77074814
0.7206132084,-4.127106667,20.46120834,-28.7743187
0.7306082083,-4.112448692,20.49092102,-28.72159576
0.7406042083,-4.143742561,20.46554947,-28.65280533
0.7506002083,-4.192842484,20.45507622,-28.62977982
0.7605952085,-4.190671921,20.5219574,-28.59753036
0.7705912085,-4.148801804,20.47303963,-28.60733414
0.7805872085,-4.133490562,20.48424721,-28.61246872
