Time (s),X (µT),Y (µT),Z (µT)
0.03940987494,7.165161133,12.5387764,-29.89802742
0.04940487514,7.168457031,12.56863022,-29.99685097
0.05939987511,7.178039551,12.53692627,-29.93105507
0.06939387508,7.27589035,12.44582367,-29.5898037
0.07938887505,7.35086441,12.27482224,-29.32788277
0.08938387502,7.354234695,12.2841835,-29.38848686
0.09937887499,7.33121109,12.37108612,-29.53391075
0.109373875,7.232102394,12.48278618,-29.68484306
0.1193688749,7.203359604,12.51447868,-29.7160778
0.1293638751,7.234422684,12.50570679,-29.68899727
0.1393588751,7.281916618,12.49591827,-29.64409828
0.1493538751,7.283306122,12.46623421,-29.81963158
0.1593488751,7.311493874,12.4889946,-29.89692497
0.169343875,7.299147606,12.48720932,-29.74593925
0.179338875,7.291769028,12.49297905,-29.65654182
0.189333875,7.290924072,12.47649956,-29.66872597
0.1993288749,7.279200554,12.46209526,-29.61440086
0.2093238751,7.269008636,12.43813896,-29.64804268
0.2193188751,7.282819748,12.47403526,-29.78780937
0.2293138751,7.308615685,12.46484184,-29.85441017
0.2393088751,7.31404686,12.43829918,-29.90966225
0.249303875,7.310080528,12.41244888,-29.75380898
0.259298875,7.265571594,12.46744347,-29.69903755
0.269293875,7.2126894,12.4601059,-29.82990837
0.2792888749,7.233421326,12.47154236,-29.88957787
0.2892838751,7.260040283,12.44762802,-29.8460331
0.2992788751,7.258173943,12.46771812,-29.87622261
0.3092738751,7.272433281,12.460392,-29.77325249
0.3192688751,7.276229858,12.45139694,-29.67266273
0.329263875,7.30026722,12.49931335,-29.84804344
0.339258875,7.288780212,12.54316521,-29.94157982
0.349253875,7.309111595,12.48500824,-29.92420006
0.3592488749,7.260339737,12.59693718,-29.91684151
0.3692438749,7.197369576,12.60535812,-29.95744896
0.3792388751,7.207654953,12.67068481,-30.00196266
0.3892338751,7.171010971,12.72976494,-29.91617775
0.3992288751,7.168103218,12.74300957,-29.96208382
0.409223875,7.168103218,12.74300957,-29.96208382
0.419218875,7.146295547,12.7609272,-29.96991158
0.429213875,7.207090378,12.72949028,-29.96148491
0.4392088749,7.204897881,12.79102707,-29.9592495
0.4492038749,7.201785088,12.77691841,-29.92201042
0.4591988751,7.242641449,12.71684837,-29.74614525
0.4691938751,7.227285385,12.7129612,-29.74939537
0.4791888751,7.236287117,12.71336174,-29.93019295
0.489183875,7.229450226,12.74678993,-29.99892998
0.499177875,7.226969719,12.75212288,-29.97938347
0.509172875,7.20844841,12.79065704,-29.93614769
0.5191678749,7.232300758,12.82812881,-29.96108818
0.5291628751,7.228162766,12.73636818,-29.96276283
0.5391578751,7.235084534,12.64502907,-30.06917763
0.5491528751,7.235537529,12.64351845,-30.08063316
0.5591478751,7.286327362,12.64282608,-29.87734032
0.569142875,7.348649025,12.62675858,-29.71581459
0.579137875,7.389725685,12.68004036,-29.55334663
0.589132875,7.371440887,12.67103577,-29.62839317
0.5991278749,7.382469177,12.69109154,-29.84221458
0.6091228749,7.332577705,12.69553375,-29.97145653
0.6191178751,7.333475113,12.72512436,-29.99122429
0.6291128751,7.318742752,12.71510887,-30.0166378
0.6391078751,7.311777115,12.79217529,-29.98362541
0.649102875,7.300919533,12.82832146,-29.91990089
0.659097875,7.277689934,12.78920174,-29.74661446
0.669092875,7.358384132,12.75081062,-29.73877525
0.6790878749,7.366875648,12.81539154,-29.85648918
0.6890828749,7.356040955,12.81507301,-29.92999077
0.6990778751,7.376164436,12.78477669,-29.9342823
0.7090728751,7.310665131,12.7747345,-29.92801476
0.7190678751,7.291041374,12.84550476,-29.93355751
0.729062875,7.283938408,12.87022209,-29.92181587
0.739057875,7.271131516,12.85996437,-29.91378212
0.749052875,7.302898407,12.78723717,-29.93655968
0.7590478749,7.250198364,12.72943497,-29.9035244
0.7690428749,7.318248749,12.70890236,-29.8423481
0.7790378751,7.289237022,12.69386673,-29.8700428
0.7890328751,7.350842476,12.68442345,-29.92193794
0.7990278751,7.393853188,12.72519302,-29.88745308
0.809022875,7.392154694,12.81625366,-29.90987587
0.819017875,7.413808823,12.80438042,-29.92333031
0.829012875,7.409023285,12.82486343,-29.94702721
0.839007875,7.390741348,12.8269043,-29.95303917
0.8490028749,7.368803978,12.87569046,-30.05242729
0.858997375,7.343458176,12.85828972,-29.77648354
0.868992375,7.378620148,12.8569622,-29.7176075
0.8789873749,7.371118546,12.83998108,-29.73999596
0.8889823749,7.365566254,12.76549339,-29.81529045
0.8989773751,7.296099663,12.7976284,-29.86366081
0.9089723751,7.320626259,12.74688911,-29.77265739
0.9189673751,7.358105659,12.79605675,-29.8545208
0.928962375,7.329606056,12.85272026,-29.91279411
0.938957375,7.367211342,12.84067345,-29.93302345
0.948951375,7.409450531,12.88545036,-29.97144127
0.9589463749,7.430542946,12.84099388,-29.98164558
0.9689413749,7.438434601,12.79221916,-29.98373222
0.9789363751,7.434000015,12.69737434,-29.94504738
0.9889313751,7.419704437,12.70797539,-29.98286629
