Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
-0.001668666489,-1.766177216,5.08866806,8.192463684
0.008327333489,-1.843715973,5.240302734,8.482560425
0.01832333347,-1.880389709,5.317542114,8.52177887
0.02831933345,-1.87679718,5.389243011,8.66443222
0.03831533343,-1.770218811,5.432952118,8.777596893
0.0483103334,-1.716929626,5.488037567,8.941356354
0.05830633338,-1.723216553,5.431904297,9.170080719
0.06830233335,-1.633553009,5.308111725,9.14538208
0.07829833333,-1.581012268,5.306165771,9.215885468
0.08829433355,-1.640588379,5.49701889,9.669891357
0.09829033352,-1.477128296,5.624703369,9.796378326
0.1082863335,-1.155746613,5.025798798,9.69653595
0.1182813335,-0.4028123474,4.021686859,10.29199768
0.1282773335,-0.2959346008,4.185895386,9.762848053
0.1382733334,-0.2457888794,4.280049591,7.980953522
0.1482693334,-0.2070195007,3.960913239,8.780590668
0.1582653334,0.3200344849,3.49972229,9.865085449
0.1682613334,-0.169896698,4.318669281,10.27957352
0.1782573333,-0.3847000122,5.282814331,9.933642883
0.1882523333,-0.3212319946,5.730682983,8.658893738
0.1982483335,-0.4745132446,5.348078613,7.885751495
0.2082443335,-0.610430603,4.863685913,7.441924438
0.2182403335,-0.4655319214,4.802313538,6.765181732
0.2282363335,-0.03682342529,4.170028381,7.522307281
0.2382323334,0.2748284912,3.565735016,8.378526764
0.2482273334,0.6827302551,3.801794128,8.735234985
0.2582233334,0.1694476318,3.72201004,9.042246552
0.2682193334,-0.7927514648,3.385958862,9.427695007
0.2782153334,-0.8542735291,3.176244965,10.0197139
0.2882113333,0.007185058594,2.962339783,9.989327087
0.2982073335,0.6885681152,1.985321503,9.226663055
0.3082033335,1.237027588,0.89394104,9.547146606
0.3181983335,1.515897675,0.7081773376,8.820557556
0.3281943335,0.9506730652,1.127605133,8.11806839
0.3381903335,0.9300160217,2.022743683,9.132808228
0.3481863334,1.688039703,4.085753632,12.83116745
0.3581823334,-0.01886077881,5.603447571,12.1378093
0.3681783334,-1.414558411,5.824537811,8.661288757
0.3781743334,-1.112187195,4.457430725,7.026987305
0.3881693333,-0.04071533203,4.016597443,6.737639008
0.3981653336,0.3237767029,3.643124084,7.428602142
0.4081613335,0.3448828125,3.587589569,8.019573212
0.4181573335,0.02350112915,4.20415741,8.052355042
0.4281533335,0.1746867371,4.448150024,8.57671463
0.4381493335,0.533789978,4.17017807,8.554560699
0.4481453334,1.285676422,3.379372559,7.094496918
0.4581403334,3.177442474,2.836451569,8.259973297
0.4681363334,3.48684906,3.39793396,8.061336365
0.4781323334,1.788031769,4.477489014,8.631351013
0.4881283334,1.573378143,4.594545593,8.779991913
0.4981243333,1.789678345,4.456682281,9.258546753
0.5081203335,1.402433624,3.779490509,9.960586853
0.5181163335,1.156944122,3.649411011,9.356143799
0.5281123335,1.243613892,3.988905029,9.022337952
0.5381073335,1.471889191,4.210144958,8.739725647
0.5481033335,1.539548492,4.250710602,8.401728516
0.5580993334,1.590891724,4.184398499,8.386609955
0.5680953334,1.651216278,4.027375031,8.405321045
0.5780913334,1.609153748,3.883973236,8.107889557
0.5880873334,1.475332031,3.714375916,7.947572937
0.5980833333,1.248254242,3.585793304,7.973618774
0.6080783335,1.052012329,3.471880188,7.915988617
0.6180743335,0.9294172668,3.366199951,7.836952972
0.6280703335,0.8472381592,3.407514038,7.818092194
0.6380663335,0.6125262451,3.536096649,7.739804993
0.6480623335,0.3725752258,3.492836609,7.728877716
0.6580583334,0.1508862305,3.446433105,7.723488922
0.6680543334,0.04236190796,3.328628082,7.826325073
0.6780503334,0.1094224548,3.246149597,7.948920135
0.6880453334,0.2284249878,3.281775513,8.027207336
0.6980413334,0.08876541138,3.120111694,7.93904068
0.7080373333,0.02589614868,3.126548309,8.033045197
0.7180333335,-0.01496887207,3.060535583,8.006550293
0.7280293335,-0.1209484863,2.854863281,7.972870331
0.7380253335,-0.07259902954,2.996019745,8.248746643
0.7480213335,0.08217910767,3.133733368,8.397387543
0.7580163334,0.1957928467,2.888393555,8.422834625
0.7680123334,0.3683839417,2.8970755,8.48660202
0.7780083334,0.2953358459,2.942880249,8.34858902
0.7880043334,0.1281335449,2.867287445,8.29589859
0.7980003334,-0.06346801758,2.883753204,8.234675903
0.8079963333,-0.08322692871,2.963237915,8.211174774
0.8179923333,0.03427871704,3.055595856,8.081394653
0.8279883335,0.1552272034,2.964285736,7.8817099
0.8379833335,0.2758763123,2.85037262,7.794441376
