Time (s),X (rad/s),Y (rad/s),Z (rad/s)
0.04331133352,-0.9796614051,-0.8293848634,0.1830804199
0.05330633349,-1.088457584,-0.9363014698,0.2264530808
0.06330233347,-1.117756128,-0.9516918659,0.2404109836
0.07329833345,-1.058937192,-0.8970569968,0.2538793385
0.08329433342,-0.8884449005,-0.8396373987,0.2866854966
0.0932903334,-0.6387492418,-0.7531312108,0.3288014829
0.1032863334,-0.406771332,-0.6661478281,0.3035975993
0.1132823334,-0.2777861655,-0.7706075311,0.2126098871
0.1232773333,-0.2744111419,-0.6620440483,0.1952977479
0.1332733335,-0.3195807338,-0.3411499858,0.1771625876
0.1432693335,-0.3455228508,-0.2598937452,0.1144400835
0.1532653335,-0.4496034682,-0.5267271399,0.05867248029
0.1632613335,-0.5516622066,-0.8054533005,0.06990516186
0.1732573335,-0.6646121144,-0.9594985843,0.1016818434
0.1832533334,-0.7531417012,-0.8736819029,0.1185047626
0.1932483334,-0.7795796394,-0.634853363,0.1529378295
0.2032443334,-0.7032697201,-0.2541172206,0.2402966917
0.2132403334,-0.5530328155,0.2582585514,0.3325552344
0.2232363333,-0.341889739,0.5905323625,0.3087295294
0.2332323333,-0.09727281332,0.7787113786,0.2652109563
0.2432283335,0.1027598754,0.895848155,0.3071043491
0.2532233335,0.1871160865,0.8590431809,0.2944319844
0.2632193335,0.2120003998,0.6567230821,0.2649606168
0.2732153335,0.1417000443,0.2820362151,0.2504279912
0.2832113334,0.03892519698,-0.09683866054,0.1967532933
0.2932073334,0.009693319909,-0.2096665055,0.03107994609
0.3032033334,0.1747275442,-0.3308147788,-0.1384033561
0.3131993334,0.4069160819,-0.1643621773,-0.3180408776
0.3231943334,0.7315735221,0.2186403424,-0.4859800637
0.3331903333,0.9900850058,0.3771345317,-0.6058093309
0.3431863335,0.893124938,-0.6190744042,-0.366178602
0.3531823335,0.435836494,-1.393182755,-0.2807917595
0.3631783335,0.2153400779,-1.729582071,-0.2057457268
0.3731743335,0.1257590503,-1.89466846,-0.3947232962
0.3831703335,0.006032121833,-1.884479403,-0.620804131
0.3931653334,-0.1210837737,-1.942452669,-0.6202090979
0.4031613334,-0.193331331,-2.035848618,-0.5003364682
0.4131573334,-0.2018582374,-2.094876528,-0.3622481227
0.4231533334,-0.2054367214,-2.287676096,-0.259398967
0.4331493333,-0.1724294871,-2.439182043,-0.2613951564
0.4431453333,-0.1019630507,-1.459507704,-0.4082280099
0.4531413335,-0.1378044188,-0.8355290294,-0.554997623
0.4631363335,-0.350265801,0.1585845351,-0.5341911912
0.4731323335,-0.3212214112,0.3773494661,-0.3477635682
0.4831283335,-0.1853986084,0.4098173976,0.05361901224
0.4931243334,-0.07834566385,0.4951988757,0.370093137
0.5031203334,0.02320839465,0.4031791985,0.4649069905
0.5131163334,0.1110188663,0.3686570525,0.4145307243
0.5231123334,0.1490269601,0.3817353249,0.2913137376
0.5331083334,0.1502687484,0.3894417882,0.2040144801
0.5431033333,0.07633114606,0.4257955551,0.1551451981
0.5530993335,-0.05363883823,0.4639131129,0.1171368435
0.5630953335,-0.1465892792,0.5664224625,0.0789321959
0.5730913335,-0.2017774582,0.7925330997,0.03756778315
0.5830873335,-0.2673774958,1.024400949,0.02019598521
0.5930833335,-0.3488600254,1.181172371,0.03308182955
0.6030793334,-0.4322521389,1.263103962,0.04739658535
0.6130743334,-0.4849802852,1.305653453,0.03813022003
0.6230703334,-0.4903622866,1.29968369,0.007607197855
0.6330663334,-0.4841425419,1.250103831,-0.01681172661
0.6430623333,-0.481282562,1.10950613,-0.03802913055
0.6530583333,-0.4935195148,0.9353945851,-0.02266171016
0.6630543335,-0.4883412719,0.7628070712,0.01501695998
0.6730503335,-0.4520427287,0.6056211591,0.07987640053
0.6830463335,-0.4319473207,0.4989346266,0.1812565476
0.6930413335,-0.4219122231,0.4520855844,0.2657789886
0.7030373334,-0.4255873859,0.454857409,0.367721349
0.7130333334,-0.4198739827,0.5030616522,0.4360403121
0.7230293334,-0.3828960061,0.5442056656,0.4203103483
0.7330253334,-0.3388658762,0.4896895289,0.3857504427
0.7430213334,-0.3247844279,0.3862382472,0.3651514351
0.7530173333,-0.2949987054,0.3066832423,0.2969826758
