Time (s),X (µT),Y (µT),Z (µT)
0.04331133352,15.10786057,-48.79410553,-26.84664917
0.05330633349,14.99469376,-48.82239532,-27.17566681
0.06330233347,14.86258698,-48.77101898,-27.44526672
0.07329833345,14.43385315,-48.55452347,-28.08515167
0.08329433342,14.05335236,-48.30784607,-28.50499725
0.0932903334,13.64200783,-48.0284462,-29.16064072
0.1032863334,13.2175293,-47.71551895,-29.91170883
0.1132823334,12.91430283,-47.68997955,-30.05249405
0.1232773333,12.65706825,-47.69087601,-29.78889084
0.1332733335,12.26753235,-47.5296402,-30.12362289
0.1432693335,11.9294281,-47.3417778,-30.70048141
0.1532653335,11.61370277,-47.23808289,-30.95137787
0.1632613335,11.3895874,-47.12382889,-31.25442123
0.1732573335,11.18987656,-46.98524094,-31.52328491
0.1832533334,10.93913651,-46.82947922,-31.6725502
0.1932483334,10.61989212,-46.71767426,-31.78715515
0.2032443334,10.26508331,-46.51676559,-32.05818939
0.2132403334,9.881814957,-46.26012802,-32.67248154
0.2232363333,9.632637024,-45.92463303,-33.29572296
0.2332323333,9.632637024,-45.92463303,-33.29572296
0.2432283335,9.438030243,-45.61692047,-33.86974716
0.2532233335,9.349250793,-45.45277786,-34.14006424
0.2632193335,9.361305237,-45.33625412,-34.11056519
0.2732153335,9.403629303,-45.24049759,-34.12683105
0.2832113334,9.447681427,-45.31187057,-33.96508789
0.2932073334,9.515169144,-45.35290146,-33.76049042
0.3032033334,9.504205704,-45.40856934,-33.62290955
0.3131993334,9.429039001,-45.49499512,-33.47283554
0.3231943334,9.339771271,-45.52415848,-33.4367485
0.3331903333,9.317333221,-45.57587051,-33.32234192
0.3431863335,9.334819794,-45.65530777,-33.06066513
0.3531823335,9.463802338,-45.75941467,-32.77468109
0.3631783335,9.665540695,-45.94004822,-32.44293976
0.3731743335,9.746416092,-46.09500504,-32.18396378
0.3831703335,9.56313324,-46.22467804,-32.03846359
0.3931653334,9.188989639,-46.3030777,-31.92161179
0.4031613334,8.862886429,-46.33467865,-31.94618607
0.4131573334,8.564657211,-46.33369446,-32.11870956
0.4231533334,8.206726074,-46.27305984,-32.33934784
0.4331493333,7.842805862,-46.15317154,-32.59895706
0.4431453333,7.408367157,-46.08414078,-32.77950668
0.4531413335,6.949546814,-45.98040771,-32.89616776
0.4631363335,6.48270607,-45.7965126,-32.95358276
0.4731323335,6.119783401,-45.43283844,-32.94571304
0.4831283335,6.073986053,-45.30842972,-32.93351746
0.4931243334,6.17266655,-45.21786118,-32.81520081
0.5031203334,6.374393463,-45.1356163,-32.80461121
0.5131163334,6.434316635,-44.93028259,-32.92979431
0.5231123334,6.404619217,-44.85471725,-33.06289291
0.5331083334,6.395095825,-44.95720291,-32.97926712
0.5431033333,6.339115143,-45.04459,-32.8883667
0.5530993335,6.298053741,-45.03174591,-32.81540298
0.5630953335,6.301683426,-45.10303879,-32.71463394
0.5730913335,6.266300201,-45.13220215,-32.5500946
0.5830873335,6.265846252,-45.07808685,-32.50894165
0.5930833335,6.366407394,-45.02266693,-32.52146149
0.6030793334,6.497692108,-44.94137573,-32.53641129
0.6130743334,6.714330673,-44.8936348,-32.57781219
0.6230703334,7.030157089,-44.76977539,-32.67311478
0.6330663334,7.294164658,-44.57358932,-32.77507782
0.6430623333,7.659353256,-44.390625,-32.81531906
0.6530583333,7.967308044,-44.17295456,-32.81562805
